locations:,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,3,3,3|14,3|10,1
1,1,1,1,1,1,1,1,3,1,1,1,1
1,1,1,1,1,1,1,1,3,1,1,1,1
1,1,1,1,1,1,1,1,3,1,1,1,1
1,1,1,1,3,3,3,3,3,1,1,1,1
1,1,1,1,3,3,3,3,3,3,3|13,3|2,1
1,1,1,1,3,1,1,1,3|12,1,1,1,1
1,3,3,3|8,3,1,1,1,3,1,1,1,1
1,1,1,1,1,1,1,1,3|6,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
end,,,,,,,,,,,,
scale:,,,,,,,,,,,,
50,,,,,,,,,,,,
end,,,,,,,,,,,,
stuff:,,,,,,,,,,,,
0,None,,,,,,,,,,,
1,SpriteBox,color,blue,scale,scale,,,,,,,
2,SpriteBox,color,cyan,scale,scale,,,,,,,
3,SpriteBox,color,darkblue,scale,scale,,,,,,,
6,item,if,,,,,,,,,,
8,entity,enemy4,,,,,,,,,,
10,SpriteBox,color,cyan,scale,scale,,,,,,,
11,SpriteBox,color,cyan,scale,scale,,,,,,,
12,entity,enemy4,,,,,,,,,,
13,SpriteBox,color,gold,25,scale,,,,,,,
14,SpriteBox,color,gold,25,scale,,,,,,,
end,,,,,,,,,,,,
tags:,,,,,,,,,,,,
0,,,,,,,,,,,,
1,tile,wall,,,,,,,,,,
2,tile,to_map1,warp,,,,,,,,,
10,tile,to_map2,warp,,,,,,,,,
11,tile,to_map3,warp,,,,,,,,,
3,tile,,,,,,,,,,,
6,pick_up,top,,,,,,,,,,
8,enemy,top,vertical,,,,,,,,,
12,enemy,top,horizontal,,,,,,,,,
13,gate,top,if,,,,,,,,,
14,gate,top,for/while,,,,,,,,,
end,,,,,,,,,,,,
dialogue,,,,,,,,,,,,
100,36,,,,,,,,,,,
end,,,,,,,,,,,,
text,,,,,,,,,,,,
if_pu,You picked up the IF ability,,,,,,,,,,,
gate_if_yes,Passed PA 09 (averages) with IF,,,,,,,,,,,
gate_if_no,Failed PA 09 (averages): you require IF,,,,,,,,,,,
gate_for/while_yes,Passed PA 13 (str_redux) with FOR/WHILE,,,,,,,,,,,
gate_for/while_no,Failed PA 13 (str_redux): you require FOR/WHILE,,,,,,,,,,,
andrew_meet,Stop right there punk!,,,,,,,,,,,
end,,,,,,,,,,,,
warps,,,,,,,,,,,,
to_map1,1,6,6,,,,,,,,,
to_map2,3,5,4,,,,,,,,,
to_map3,3,5,4,,,,,,,,,
end,,,,,,,,,,,,
