locations:,,,,,,
1,1,1,1,1,1,1
1,3,3,3,3,3,1
1,3,1,3,1,3,1
1,3|14,1,3,1,3|14,1
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,3|5,3|8,3,3|8,3,1
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,3|14,1,3,1,3,1
1,3,3,3,3,3,1
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
end,,,,,,
scale:,,,,,,
50,,,,,,
end,,,,,,
stuff:,,,,,,
0,None,,,,,
1,SpriteBox,color,blue,scale,scale,
2,SpriteBox,color,cyan,scale,scale,
14,SpriteBox,color,cyan,scale,scale,
3,SpriteBox,color,darkblue,scale,scale,
4,item,for_loop,,,,
5,item,while_loop,,,,
15,item,elseif,,,,
6,item,dict,,,,
7,item,list,,,,
8,entity,enemy1,,,,
10,SpriteBox,color,cyan,scale,scale,
11,SpriteBox,color,cyan,scale,scale,
12,SpriteBox,color,darkred,scale,scale,
13,SpriteBox,color,gold,25,25,
end,,,,,,
tags:,,,,,,
0,,,,,,
1,tile,wall,,,,
2,tile,to_map1,warp,,,
10,tile,to_map2,warp,,,
11,tile,to_map3,warp,,,
3,tile,,,,,
4,pick_up,top,,,,
5,pick_up,top,,,,
6,pick_up,top,,,,
7,pick_up,top,,,,
8,enemy,top,vertical,,,
12,tile,,,,,
13,gate,top,,,,
14,tile,to_map3,,,,
15,pick_up,top,,,,
end,,,,,,
dialogue,,,,,,
100,36,,,,,
end,,,,,,
text,,,,,,
list_pu,You picked up the LIST ability damn right you did boy,,,,,
dict_pu,You picked up the DICT ability,,,,,
while_pu,You picked up the WHILE ability,,,,,
elseif_pu,You picked up the ELSEIF ability,,,,,
bob_meet,I can't believe it!  You're still moving...  Prepare to perish!,,,,,
end,,,,,,
warps,,,,,,
to_map1,1,5,5,,,
to_map2,1,5,5,,,
to_map3,5,3,6,,,
end,,,,,,
